2025-08-11 12:04:47.822 | INFO     | __main__:<module>:35 - Loguru 日志系统已初始化。
2025-08-11 12:04:47.823 | INFO     | __main__:<module>:36 - 项目根目录配置为: /media/zhouxiang/FC7C74827C743A0A/Projects1
2025-08-11 12:04:47.823 | INFO     | __main__:<module>:37 - 数据库路径配置为: data/document_service.db
2025-08-11 12:04:47.823 | INFO     | __main__:<module>:38 - 表格列读取配置已加载: {'变电站安装工程概算表': (2, 6), '变电站建筑工程概算表': (2, 6), '电缆输电线路安装工程概算表': (2, 6), '电缆输电线路建筑工程概算表': (2, 6)}
2025-08-11 12:04:47.823 | INFO     | __main__:<module>:39 - kkFileView 服务地址配置为: http://127.0.0.1:8012/kkfileview
2025-08-11 12:04:47.823 | INFO     | __main__:<module>:42 - Dify Agent API Key: ********kGHe
2025-08-11 12:04:47.823 | INFO     | __main__:<module>:43 - Session Secret Key: ********d529
2025-08-11 12:04:47.823 | INFO     | __main__:<module>:44 - 服务器ipv6地址为: http://[240e:479:668:3c1c:41db:d6b1:cb76:39a6]:8888
2025-08-11 12:04:47.824 | INFO     | __main__:<module>:151 - FastAPI 应用已实例化并注册到 app_state。
2025-08-11 12:04:47.824 | INFO     | __main__:<module>:154 - CORS中间件已添加，允许所有来源。
2025-08-11 12:04:47.833 | INFO     | __main__:<module>:174 - MCP 服务器 '项目文件检索服务器' 已挂载到 FastAPI 应用的 '/mcp/' 路径。
2025-08-11 12:04:47.851 | INFO     | __main__:combined_lifespan:64 - COMBINED LIFESPAN START - PID: 1862746 - 服务器启动中...
2025-08-11 12:04:47.886 | INFO     | __main__:combined_lifespan:69 - HTTPX 客户端已创建并注册到 app_state。
2025-08-11 12:04:47.886 | INFO     | utils.utils:check_embedding_service_health:28 - 正在检查嵌入模型服务，目标URL: http://127.0.0.1:8001/v1/models
2025-08-11 12:04:47.893 | INFO     | utils.utils:check_embedding_service_health:37 - 嵌入模型服务可用，模型列表: ['/home/zhouxiang/models/BAAI_bge-m3']
2025-08-11 12:04:47.894 | INFO     | core.session:__init__:79 - SessionStateManager已初始化。整体HTTP不活动超时: 3600秒
2025-08-11 12:04:47.894 | INFO     | __main__:combined_lifespan:77 - SessionStateManager 已实例化并注册到 app_state。
2025-08-11 12:04:47.894 | INFO     | database.document_service:__init__:164 - 有效文档根目录: {'项目文件': PosixPath('/media/zhouxiang/FC7C74827C743A0A/Projects1'), '规范文件': PosixPath('/media/zhouxiang/FC7C74827C743A0A/规程规范'), '管理文件': PosixPath('/media/zhouxiang/FC7C74827C743A0A/管理文件')}
2025-08-11 12:04:47.894 | DEBUG    | database.document_service:_init_db:180 - 初始化数据库
2025-08-11 12:04:47.894 | DEBUG    | database.document_service:_init_db:201 - 数据库初始化完成
2025-08-11 12:04:47.895 | INFO     | database.document_service:__init__:177 - DocumentQueryService 初始化完成
2025-08-11 12:04:47.895 | INFO     | database.document_service:full_scan:324 - 开始全量扫描...
2025-08-11 12:04:47.895 | INFO     | database.document_service:full_scan:327 - 正在扫描 '项目文件' 目录: /media/zhouxiang/FC7C74827C743A0A/Projects1
2025-08-11 12:04:55.861 | INFO     | database.document_service:full_scan:327 - 正在扫描 '规范文件' 目录: /media/zhouxiang/FC7C74827C743A0A/规程规范
2025-08-11 12:04:56.295 | INFO     | database.document_service:full_scan:327 - 正在扫描 '管理文件' 目录: /media/zhouxiang/FC7C74827C743A0A/管理文件
2025-08-11 12:04:56.296 | INFO     | database.document_service:full_scan:332 - 全量扫描完成，共处理文件数: 1581
2025-08-11 12:04:56.296 | DEBUG    | database.document_service:_start_watchdog:335 - 启动文件监控 Watchdog
2025-08-11 12:04:56.296 | INFO     | database.document_service:_start_watchdog:421 - 正在监控 '项目文件' 目录: /media/zhouxiang/FC7C74827C743A0A/Projects1
2025-08-11 12:04:56.296 | INFO     | database.document_service:_start_watchdog:421 - 正在监控 '规范文件' 目录: /media/zhouxiang/FC7C74827C743A0A/规程规范
2025-08-11 12:04:56.296 | INFO     | database.document_service:_start_watchdog:421 - 正在监控 '管理文件' 目录: /media/zhouxiang/FC7C74827C743A0A/管理文件
2025-08-11 12:04:56.314 | INFO     | database.document_service:_start_watchdog:423 - Watchdog 已启动
2025-08-11 12:04:56.314 | INFO     | database.document_service:start:465 - DocumentQueryService 已启动
2025-08-11 12:04:56.314 | INFO     | __main__:combined_lifespan:83 - 统一文档查询服务 (DocumentQueryService) 已启动。
2025-08-11 12:04:56.314 | INFO     | core.file_service:__init__:38 - FileService 初始化完成。根目录: '/media/zhouxiang/FC7C74827C743A0A/Projects1', 临时目录: '/home/zhouxiang/mcp_file_server/tempfile'
